exam_code,cpt,rvu
CT0002,75989,1.19
CT0003,76360,#N/A
CT0011,76376,0.2
CT0012,76377,0.79
CT0012,76377,0.79
CT0014,72125,1
CT0018,76360,#N/A
CT1005,70460,1.13
CT1005,70460,1.13
CT1006,70450,0.85
CT1006,70450,0.85
CT1007,70470,1.27
CT1007,70470,1.27
CT1007,70470,1.27
CT1008,70481,1.13
CT1009,70480,1.28
CT1010,70487,1.13
CT1010,70487,1.13
CT1011,70486,0.85
CT1011,70486,0.85
CT1012,70488,1.27
CT1013,70491,1.38
CT1014,70490,1.28
CT1015,70492,1.62
CT1016,70481,1.13
CT1017,70480,1.28
CT1019,76380,0.98
CT1021,70480,1.28
CT1026,72126,1.22
CT1027,72125,1
CT1028,70496,1.75
CT1029,70498,1.75
CT1030,70482,1.27
CT1034,77014,0.85
CT2001,76360,#N/A
CT2004,72129,1.22
CT2005,72128,1
CT2008,71270,1.38
CT2009,71275,1.82
CT2014,71250,1.16
CT2015,71260,1.24
CT2018,71260,1.24
CT2020,71260,1.24
CT2021,71250,1.16
CT2025,0146T,#N/A
CT2028,0151T,#N/A
CT3001,74160,1.27
CT3002,74150,1.19
CT3003,74170,1.4
CT3005,76360,#N/A
CT3008,76360,#N/A
CT3012,76360,#N/A
CT3019,76380,0.98
CT3026,72193,1.16
CT3027,72192,1.09
CT3028,72194,1.22
CT3034,72132,1.22
CT3035,72131,1
CT3039,72191,1.81
CT3040,74175,1.82
CT3041,75635,2.4
CT3046,72194,1.22
CT3048,72193,1.16
CT3051,74170,1.4
CT3057,79192,#N/A
CT3060,74160,1.27
CT3061,72194,1.22
FL0002,76080,0.54
FL0011,76000,0.3
FL0013,74249,#N/A
FL1001,70015,1.19
FL2006,76000,0.3
FL2009,74220,0.6
FL2010,74220,0.6
FL2022,74247,#N/A
FL3002,74305,#N/A
FL3008,74280,1.26
FL3009,74270,1.04
FL3010,74270,1.04
FL3010,74270,1.04
FL3011,74270,1.04
FL3013,74430,0.32
FL3014,74450,0.33
FL3015,74455,0.33
FL3021,74740,0.38
FL3023,74425,0.51
FL3029,74250,0.81
FL3035,76005,#N/A
FL3037,74246,0.9
FL3040,74450,0.33
FL3041,74425,0.51
FL3049,76000,0.3
IM0010,76000,0.3
IR0026,99244,#N/A
IR0027,76005,#N/A
IR0031,76003,#N/A
IR0041,76003,#N/A
IR2008,76937,0.3
IR2010,76937,0.3
IR2015,36590,#N/A
IR2026,76012,#N/A
IR2031,36589,#N/A
IR3006,75726,2.05
IR3024,74350,#N/A
IR3077,76005,#N/A
IR3080,76000,0.3
IR3090,49450,#N/A
IR3092,49452,#N/A
IR3094,49446,#N/A
MC1001,Unknown,#N/A
MC1006,Unknown,#N/A
MC1201,Unknown,#N/A
MC2002,999999,#N/A
MC3001,74000,#N/A
MC3003,72195,1.46
MC3005,Unknown,#N/A
MC3006,76700,0.81
MC3101,Unknown,#N/A
MC3103,Unknown,#N/A
MC4001,Unknown,#N/A
MC4003,73718,1.35
MC4101,Unknown,#N/A
MC4103,73218,1.35
MC4105,Unknown,#N/A
MR0001,76390,1.4
MR0004,72142,1.78
MR1003,70544,1.2
MR1003,70544,1.2
MR1004,70551,1.48
MR1006,70551,1.48
MR1009,70553,2.29
MR1015,70551,1.48
MR1016,70552,1.78
MR1019,70547,1.2
MR1019,70547,1.2
MR1020,70551,1.48
MR1025,70540,1.35
MR1031,70551,1.48
MR1033,72142,1.78
MR1036,70540,1.35
MR1038,70545,1.2
MR1039,70546,1.48
MR1039,70546,1.48
MR1042,70548,1.5
MR1042,70548,1.5
MR1043,70549,1.8
MR1043,70549,1.8
MR1046,70555,2.54
MR2005,71550,1.46
MR2009,72147,1.78
MR2014,71555,1.81
MR2020,76094,#N/A
MR2026,71552,2.26
MR2033,75554,#N/A
MR3008,72195,1.46
MR3009,74181,1.46
MR3011,72196,1.73
MR3013,73721,1.35
MR3015,72195,1.46
MR3019,74181,1.46
MR3020,74183,2.2
MR3024,74182,1.73
MR3025,74185,1.8
MR3026,74185,1.8
MR3026,74185,1.8
MR3027,74185,1.8
MR3035,74185,1.8
MR3035,74185,1.8
MR3036,74185,1.8
MR3036,74185,1.8
MR3037,72198,1.8
MR3038,72198,1.8
MR3038,72198,1.8
MR3039,72198,1.8
MR3039,72198,1.8
MR3040,72195,1.46
